Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s),source_file
7,0.2,93.7,0.0,21300.0,134.559,26365999,13.553356170654297,training_metrics_batch64_lr0.001_epochs30.csv
8,0.2,93.9,0.0,21300.0,135.485,26427647,13.639439105987549,training_metrics_batch64_lr0.001_epochs30.csv
9,0.0,94.2,0.0,21300.0,135.79500000000002,26488821,13.7505202293396,training_metrics_batch64_lr0.001_epochs30.csv
10,0.0,94.5,0.0,21300.0,131.961,26548671,13.897596836090088,training_metrics_batch64_lr0.001_epochs30.csv
11,0.2,94.6,0.0,21300.0,134.998,26609919,13.971145868301392,training_metrics_batch64_lr0.001_epochs30.csv
12,0.0,94.7,0.0,21300.0,136.449,26672507,13.684403657913208,training_metrics_batch64_lr0.001_epochs30.csv
13,0.2,94.8,0.0,21300.0,133.751,26736969,13.596350193023682,training_metrics_batch64_lr0.001_epochs30.csv
14,0.0,94.9,0.0,21300.0,132.238,26799203,13.749746084213257,training_metrics_batch64_lr0.001_epochs30.csv
15,0.0,94.8,0.0,21300.0,136.757,26862059,13.826620817184448,training_metrics_batch64_lr0.001_epochs30.csv
16,0.2,93.2,0.0,21300.0,136.041,26923037,13.665446043014526,training_metrics_batch64_lr0.001_epochs30.csv
17,0.0,93.4,0.0,21300.0,138.126,26984923,13.54495334625244,training_metrics_batch64_lr0.001_epochs30.csv
18,0.0,93.6,0.0,21300.0,134.217,27044607,13.64814567565918,training_metrics_batch64_lr0.001_epochs30.csv
19,0.0,93.9,0.0,21300.0,135.079,27106697,13.839383602142334,training_metrics_batch64_lr0.001_epochs30.csv
20,0.0,94.0,0.0,21300.0,136.062,27168205,13.813996076583862,training_metrics_batch64_lr0.001_epochs30.csv
21,0.0,94.4,0.0,21300.0,134.377,27229537,13.875114440917969,training_metrics_batch64_lr0.001_epochs30.csv
22,0.2,94.6,0.0,21300.0,133.285,27291406,13.8609459400177,training_metrics_batch64_lr0.001_epochs30.csv
23,0.0,94.8,0.0,21300.0,134.625,27354206,13.677088975906372,training_metrics_batch64_lr0.001_epochs30.csv
24,0.0,94.8,0.0,21300.0,133.606,27415977,13.895100355148315,training_metrics_batch64_lr0.001_epochs30.csv
25,0.0,95.0,0.0,21300.0,133.953,27477891,13.81138825416565,training_metrics_batch64_lr0.001_epochs30.csv
26,0.0,94.7,0.0,21300.0,138.137,27539619,13.672352075576782,training_metrics_batch64_lr0.001_epochs30.csv
27,0.0,94.9,0.0,21300.0,134.36700000000002,27599659,13.659680843353271,training_metrics_batch64_lr0.001_epochs30.csv
28,0.0,94.2,0.0,21300.0,138.539,27660789,13.834842205047607,training_metrics_batch64_lr0.001_epochs30.csv
29,0.0,92.5,0.0,21300.0,136.675,27722752,13.74516463279724,training_metrics_batch64_lr0.001_epochs30.csv
30,0.0,92.8,0.0,21300.0,137.378,27784204,13.62410569190979,training_metrics_batch64_lr0.001_epochs30.csv
